NAME,SKU,CATEGORY,PRICE,BRAND,DESCRIPTION
Per Piece `,525,BATH ACCESSORIES,525,Price,Extracted from Price List 2026.pdf
Product KB2211032-CG,KB2211032-CG,AGALIA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB22THR002-CG,KB22THR002-CG,CSC TRIMS WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211023-GM,KB2211023-GM,CSC TRIMS WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"Per Piece ` 1,",925,ACCESSORIES,1925,Price,Extracted from Price List 2026.pdf
Product KB2211001-GM,KB2211001-GM,AGALIA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211002-GM,KB2211002-GM,PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211037-GM,KB2211037-GM,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211016-GM,KB2211016-GM,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211004-GM,KB2211004-GM,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211005-GM,KB2211005-GM,AGALIA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211032-GM,KB2211032-GM,AGALIA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB22THR002-GM,KB22THR002-GM,CSC TRIMS WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211003-GM,KB2211003-GM,CSC TRIMS WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
52 	-CP 	Single Lever Basin Mixer,KB911010-ND,GREEN PRO CERTIFICATION,0,Price,Extracted from Price List 2026.pdf
53 	-CP 	Single Lever Tall Basin Mixer,KB911011-ND,GREEN PRO CERTIFICATION,0,Price,Extracted from Price List 2026.pdf
Product KB911023-RG,KB911023-RG,WITHOUT POP-UP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911001-RG,KB911001-RG,PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911002-RG,KB911002-RG,CHIME,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911017-RG,KB911017-RG,DIVERTER & FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
BATH & SHOWER MIXER TRIMS,LEVER,CHIME,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911036-RG,KB911036-RG,DIVERTER & FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911037-RG,KB911037-RG,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911016-RG,KB911016-RG,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB91THR002-RG,KB91THR002-RG,BATH AND SHOWER MIXER,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
